"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Stochastic_Uncertainties"
"05/21/2019 13:38:54:245 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","companies_utility_sector","weighting_capabilities","report_time","renovations_cheaper","large_socialnetwork_group","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.595746159804829E-4","1.4945940039404207E-4","1.0020680861334162E-4","1.4449632732592963E-4","1.47190566991477E-4","1.595746159804829E-4","1.2311016279807264E-4","2.2195641281868526E-4","2.541760714815968E-4","1.0020680861334162E-4","1.4449632732592963E-4","1.47190566991477E-4","1.1713408527366746E-4","1.2772197448564443E-4","2.642023132091156E-4"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","1.1197638188914796E-4","9.934070370537172E-5","6.94440968903056E-5","1.0645166133657615E-4","1.0975481584913527E-4","1.1197638188914796E-4","9.645507756203465E-5","2.1022298517306005E-4","2.5383129777826325E-4","6.94440968903056E-5","1.0645166133657615E-4","1.0975481584913527E-4","9.877210513818667E-5","1.117956537382124E-4","2.9177864860942195E-4"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","1.097548158491359E-4","9.704267575534607E-5","6.248189242949303E-5","1.0145522307136635E-4","1.0900409891446295E-4","1.097548158491359E-4","8.326099573240991E-5","1.9690193023226438E-4","2.4249825249780677E-4","6.248189242949303E-5","1.0145522307136635E-4","1.0900409891446295E-4","8.077158130459436E-5","9.257730021059536E-5","2.599816157763997E-4"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","1.1575777089342513E-4","1.0134261553116498E-4","6.988618575184129E-5","1.0791138870955095E-4","1.1389210028910954E-4","1.1575777089342513E-4","9.903717309290548E-5","2.11718858176225E-4","2.5623359196921987E-4","6.988618575184129E-5","1.0791138870955095E-4","1.1389210028910954E-4","9.904458758115036E-5","1.1367522650799506E-4","2.833372537439924E-4"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","0.002459771303817351","0.002807581240084281","-2.9408084720923853E-4","0.0013000415396703868","0.0014737407557550812","0.002459771303817351","-2.4607574307550814E-4","0.0011832883737302395","0.001352741868484395","-2.9408084720923853E-4","0.0013000415396703868","0.0014737407557550812","-1.0478340148181425E-4","-1.241963853258394E-4","7.695932949299927E-4"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","0.0031992619618402057","0.003317883578817772","-6.188209740303912E-4","0.00173004219029173","0.0022112617549760044","0.0031992619618402057","-6.295478848969247E-4","0.0017310681701024396","0.0022502823529804193","-6.188209740303912E-4","0.00173004219029173","0.0022112617549760044","-3.2664194305571546E-4","-4.565026266752685E-4","0.0012660340625297174"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","0.0014949243193916675","0.0017183510252290917","-3.535543110338071E-4","7.085766907396567E-4","8.489707670825622E-4","0.0014949243193916675","-2.758245235311666E-4","6.973242780188339E-4","8.484068952516207E-4","-3.535543110338071E-4","7.085766907396567E-4","8.489707670825622E-4","-8.106908764540571E-5","-1.053339272338863E-4","5.120640211401891E-4"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","0.0016920325577593131","0.0019451326016345603","-2.9225410266815125E-4","8.217848044882859E-4","9.475799388415935E-4","0.0016920325577593131","-2.2910212586361683E-4","7.887716102210917E-4","9.262512365976149E-4","-2.9225410266815125E-4","8.217848044882859E-4","9.475799388415935E-4","-7.447946121883552E-5","-8.738345119593608E-5","5.39815523825253E-4"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","0.001884039257490882","0.002145959391218614","-1.911091759297862E-4","9.890270208048682E-4","0.0011277920413995356","0.001884039257490882","-1.3715987657109984E-4","9.472346090516342E-4","0.0010972078334809624","-1.911091759297862E-4","9.890270208048682E-4","0.0011277920413995356","-3.255108628744467E-5","-3.7375693787612146E-5","6.697946538944684E-4"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","0.0032817740942599942","0.003300812275723317","-7.074622931568308E-4","0.0017867063045208186","0.0023588527043326398","0.0032817740942599942","-7.409668826323663E-4","0.0018347755439778197","0.0024592797232467953","-7.074622931568308E-4","0.0017867063045208186","0.0023588527043326398","-3.9360923014823115E-4","-5.589916147700264E-4","0.0013802080987342928"
