"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Weighting_Capabilities"
"05/26/2019 17:26:53:204 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","report_time","companies_utility_sector","weighting_capabilities","large_socialnetwork_group","renovations_cheaper","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.3456183989043173E-4","1.3517909603671474E-4","6.924946657390741E-5","1.1168165598146202E-4","1.1691165062634819E-4","1.3456183989043173E-4","7.913854026891516E-5","1.6935617959595932E-4","2.0561858797373765E-4","6.924946657390741E-5","1.1168165598146202E-4","1.1691165062634819E-4","6.855991916724352E-5","7.729603994035842E-5","1.9582034175971366E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.2238354295018367E-4","1.2338449886308047E-4","7.46601893697352E-5","1.0586777038738634E-4","1.0062943444322666E-4","1.2238354295018367E-4","8.277905399656483E-5","1.63155813802183E-4","1.8304147127173425E-4","7.46601893697352E-5","1.0586777038738634E-4","1.0062943444322666E-4","7.374264644957962E-5","7.474916322865923E-5","1.787039956491783E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.2116571325616077E-4","1.2206657357776663E-4","6.576280347732048E-5","1.0637658964310909E-4","1.0104649940693397E-4","1.2116571325616077E-4","7.08120699712658E-5","1.360632737597757E-4","1.4577254611487575E-4","6.576280347732048E-5","1.0637658964310909E-4","1.0104649940693397E-4","6.460058244512148E-5","6.531793418269673E-5","1.4795796652469827E-4"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","9.857747482179025E-5","9.163334317606631E-5","4.806256641759325E-5","8.349223508450563E-5","9.10619641757881E-5","9.857747482179025E-5","6.386840173105994E-5","1.6585283390082003E-4","2.13948765515512E-4","4.806256641759325E-5","8.349223508450563E-5","9.10619641757881E-5","5.702668270420351E-5","6.796490648569302E-5","2.0887447512374325E-4"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","2.1095701950919011E-4","1.9490279883955746E-4","1.531796198703073E-4","1.970631953515602E-4","2.0137564707629137E-4","2.1095701950919011E-4","1.8697856452912632E-4","3.392239588807329E-4","4.0449740613397083E-4","1.531796198703073E-4","1.970631953515602E-4","2.0137564707629137E-4","1.7917110840852865E-4","1.9425217749617472E-4","4.175487590649077E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","8.879591120631268E-5","8.367991431817354E-5","5.176054242912972E-5","7.827475238853078E-5","7.740725726402039E-5","8.879591120631268E-5","6.524564292232283E-5","1.4773275144429692E-4","1.7427754616770275E-4","5.176054242912972E-5","7.827475238853078E-5","7.740725726402039E-5","5.990443095378188E-5","6.423912614324337E-5","1.7493372837726717E-4"
